teamName,year,prev_3s_recruits,prev_4s_recruits,prev_5s_recruits,curr_3s_recruits,curr_4s_recruits,curr_5s_recruits,seed_points,NIT,R64,R32,S16,E8,F4,F2,CHMP,returningMins%,sos,adjTempo,win ratio,overall efficiency,stars,label
Abilene Christian,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.692,0.163634238,-0.827261414,0.095238095,-1.789116782,-0.845030615,0
Abilene Christian,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5656,0.0991605,-1.106673539,0.25,-1.735331837,-0.845030615,0
Abilene Christian,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5372,0.088713407,0.259890324,0.333333333,-1.294893007,-0.845030615,0
Abilene Christian,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.9182,0.09309376,-0.134588456,0.36,-0.844418836,-0.205466566,0
Abilene Christian,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6594,0.097432071,0.71440553,0.428571429,-0.847263624,-0.845030615,0
Abilene Christian,2020,0,0,0,0,0,0,0.105630515,0,1,0,0,0,0,0,0,0.428885774,0.1004207,-0.601085305,0.766666667,0.033724046,-0.845030615,1
Abilene Christian,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.720120116,0.109822593,0.228061383,0.592592593,0.242113765,-0.845030615,0
Air Force,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.8352,0.215310407,-1.655481157,0.407407407,-0.180079304,-0.845030615,0
Air Force,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.2998,0.2800498,-0.98353445,0.533333333,0.471537877,-0.845030615,0
Air Force,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.7162,0.174715357,-0.619514908,0.357142857,-0.507489324,-0.845030615,0
Air Force,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4762,0.16414931,-1.861603657,0.413793103,-0.439514695,-0.845030615,0
Air Force,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.7918,0.1622568,0.118816456,0.4,-0.597843459,-0.845030615,0
