teamName,year,3_star_recruits,4_star_recruits,5_star_recruits
Kentucky,2012,0,0,4
Duke,2012,0,4,1
Louisville,2012,1,3,1
Arizona,2012,0,2,2
Texas,2012,3,3,1
Ohio State,2012,1,4,0
St. John's,2012,1,4,0
Arkansas,2012,1,3,1
Alabama,2012,1,4,0
Illinois,2012,2,4,0
Virginia Tech,2012,2,2,1
North Carolina,2012,3,0,2
Pittsburgh,2012,1,2,1
Georgetown,2012,2,3,0
Syracuse,2012,0,1,2
Mississippi State,2012,2,3,0
Kansas,2012,2,2,0
Rutgers,2012,6,2,0
Michigan State,2012,3,0,1
Xavier,2012,0,3,0
Washington,2012,4,0,1
Villanova,2012,2,2,0
Baylor,2012,1,1,1
Vanderbilt,2012,1,2,0
Oregon,2012,4,0,1
Cincinnati,2012,4,2,0
West Virginia,2012,7,1,0
Gonzaga,2012,4,1,0
Michigan,2012,1,2,0
South Carolina,2012,1,2,0
Oklahoma State,2012,1,1,1
Georgia,2012,4,0,1
Connecticut,2012,0,1,1
Western Kentucky,2012,5,1,0
UCF,2012,3,1,0
Indiana,2012,2,0,1
Tennessee,2012,5,1,0
Marquette,2012,2,1,0
Virginia,2012,1,2,0
Clemson,2012,4,1,0
Harvard,2012,5,1,0
LSU,2012,2,1,0
Wisconsin,2012,3,1,0
George Mason,2012,2,1,0
Texas A&M,2012,1,1,0
Florida State,2012,0,2,0
Seton Hall,2012,7,0,0
DePaul,2012,4,1,0
Arizona State,2012,1,1,0
Colorado,2012,4,0,0
Kansas State,2012,5,0,0
Auburn,2012,3,0,0
Minnesota,2012,0,2,0
Boston College,2012,5,0,0
Georgia Tech,2012,1,1,0
Notre Dame,2012,1,1,0
Florida,2012,1,0,1
New Mexico,2012,1,1,0
Houston,2012,4,1,0
Nebraska,2012,4,0,0
Ole Miss,2012,5,0,0
College of Charleston,2012,1,1,0
Butler,2012,3,0,0
SMU,2012,3,0,0
Richmond,2012,3,0,0
Texas Tech,2012,6,0,0
Memphis,2012,1,0,1
Iowa,2012,3,0,0
Washington State,2012,3,0,0
USC,2012,4,0,0
Iona,2012,0,1,0
Missouri State,2012,3,0,0
UCLA,2012,1,1,0
Penn State,2012,5,0,0
Rhode Island,2012,2,0,0
Iowa State,2012,4,0,0
Cleveland State,2012,3,0,0
UNLV,2012,0,0,1
Wake Forest,2012,3,0,0
TCU,2012,2,0,0
Purdue,2012,2,0,0
Louisiana Tech,2012,2,0,0
Providence,2012,2,0,0
South Alabama,2012,1,0,0
Maryland,2012,0,1,0
UT-Arlington,2012,1,0,0
UC Santa Barbara,2012,2,0,0
Stanford,2012,0,1,0
Pennsylvania,2012,2,0,0
High Point,2012,1,0,0
Wisconsin-Milwaukee,2012,1,0,0
California,2012,2,0,0
Ohio,2012,1,0,0
East Carolina,2012,1,0,0
NC State,2012,1,0,0
BYU,2012,1,0,0
Drexel,2012,1,0,0
Manhattan,2012,1,0,0
Creighton,2012,1,0,0
Georgia State,2012,1,0,0
Oregon State,2012,1,0,0
Miami,2012,1,0,0
Pepperdine,2012,1,0,0
UTEP,2012,1,0,0
Kentucky,2013,0,1,3
UCLA,2013,0,1,3
Arizona,2013,0,1,3
Baylor,2013,1,3,1
North Carolina,2013,0,4,0
UNLV,2013,2,2,1
Indiana,2013,1,2,1
Michigan,2013,2,2,1
Texas,2013,2,3,1
Georgia Tech,2013,1,3,0
Kansas,2013,2,3,0
Michigan State,2013,0,3,1
Maryland,2013,1,4,0
NC State,2013,0,1,2
Virginia,2013,2,3,0
Purdue,2013,0,4,0
Colorado,2013,4,2,0
Florida,2013,1,3,0
Georgetown,2013,0,3,0
Providence,2013,1,0,2
Texas A&M,2013,3,2,0
Wake Forest,2013,5,2,0
Oregon,2013,4,2,0
Houston,2013,2,1,1
Pittsburgh,2013,1,1,1
Xavier,2013,1,2,0
Villanova,2013,1,2,0
Ole Miss,2013,4,2,0
Connecticut,2013,1,2,0
Notre Dame,2013,1,2,0
Iowa,2013,3,2,0
San Diego State,2013,1,2,0
St. John's,2013,1,2,0
Stanford,2013,1,2,0
Auburn,2013,4,2,0
Mississippi State,2013,5,1,0
Georgia,2013,2,2,0
Tennessee,2013,3,1,0
Iowa State,2013,2,2,0
Florida State,2013,3,1,0
Duke,2013,0,1,1
Oklahoma State,2013,2,0,1
Syracuse,2013,0,1,1
Clemson,2013,4,1,0
West Virginia,2013,2,1,0
Arkansas,2013,4,1,0
Memphis,2013,0,2,0
California,2013,2,1,0
Oklahoma,2013,5,0,0
Utah,2013,2,1,0
VCU,2013,2,1,0
LSU,2013,3,1,0
Missouri,2013,4,0,0
Oregon State,2013,3,1,0
Northwestern,2013,3,1,0
Marquette,2013,1,1,0
Vanderbilt,2013,3,0,0
Wisconsin,2013,1,0,1
Butler,2013,1,1,0
South Carolina,2013,4,0,0
Arizona State,2013,3,0,0
Charlotte,2013,1,1,0
Washington State,2013,1,1,0
Boston College,2013,2,0,0
