teamName,year,seed_points,results
Duke,2010,16,CHMP
Kansas,2010,16,R32
Syracuse,2010,16,S16
Kentucky,2010,16,E8
Ohio St.,2010,15,S16
Kansas St.,2010,15,E8
West Virginia,2010,15,F4
Baylor,2010,14,E8
Wisconsin,2010,13,R32
Purdue,2010,13,S16
BYU,2010,10,R32
Texas A&M,2010,12,R32
California,2010,9,R32
Butler,2010,12,F2
Maryland,2010,13,R32
Georgetown,2010,14,R64
Clemson,2010,10,R64
Villanova,2010,15,R32
Missouri,2010,7,R32
Xavier,2010,11,S16
Temple,2010,12,R64
Texas,2010,9,R64
Michigan St.,2010,12,F4
Marquette,2010,11,R64
Minnesota,2010,6,R64
Washington,2010,6,S16
Utah St.,2010,5,R64
Northern Iowa,2010,8,S16
Oklahoma St.,2010,10,R64
Georgia Tech,2010,7,R32
Florida St.,2010,8,R64
Tennessee,2010,11,E8
UNLV,2010,9,R64
Notre Dame,2010,11,R64
Pittsburgh,2010,14,R32
UTEP,2010,5,R64
Dayton,2010,0,NIT
Gonzaga,2010,9,R32
Vanderbilt,2010,13,R64
Old Dominion,2010,6,R32
Arizona St.,2010,0,NIT
Saint Mary's,2010,7,S16
Mississippi St.,2010,0,NIT
San Diego St.,2010,6,R64
Virginia Tech,2010,0,NIT
Louisville,2010,8,R64
New Mexico,2010,14,R32
Richmond,2010,10,R64
Florida,2010,7,R64
Mississippi,2010,0,NIT
Cornell,2010,5,S16
Memphis,2010,0,NIT
VCU,2010,0,NIT
Wake Forest,2010,8,R32
Illinois,2010,0,NIT
Connecticut,2010,0,NIT
St. John's,2010,0,NIT
Miami FL,2010,0,NIT
Alabama,2010,0,NIT
UAB,2010,0,NIT
USC,2010,0,NIT
Seton Hall,2010,0,NIT
Boston College,2010,0,NIT
Rhode Island,2010,0,NIT
Cincinnati,2010,0,NIT
Siena,2010,4,R64
Murray St.,2010,4,R32
Missouri St.,2010,0,NIT
Wichita St.,2010,0,NIT
Iowa St.,2010,0,NIT
North Carolina,2010,0,NIT
Texas Tech,2010,0,NIT
South Florida,2010,0,NIT
Wright St.,2010,0,NIT
Michigan,2010,0,NIT
North Carolina St.,2010,0,NIT
Colorado,2010,0,NIT
Marshall,2010,0,NIT
Georgia,2010,0,NIT
Wofford,2010,4,R64
Nevada,2010,0,NIT
Providence,2010,0,NIT
Tulsa,2010,0,NIT
Northeastern,2010,0,NIT
Northwestern,2010,0,NIT
Houston,2010,4,R64
Auburn,2010,0,NIT
South Carolina,2010,0,NIT
Virginia,2010,0,NIT
Nebraska,2010,0,NIT
Arizona,2010,0,NIT
Saint Louis,2010,0,NIT
Oklahoma,2010,0,NIT
Portland,2010,0,NIT
Pacific,2010,0,NIT
Sam Houston St.,2010,3,R64
Penn St.,2010,0,NIT
Southern Miss,2010,0,NIT
Stanford,2010,0,NIT
Illinois St.,2010,0,NIT
Kent St.,2010,0,NIT
Ohio,2010,3,R32
UCLA,2010,0,NIT
Charlotte,2010,0,NIT
Morehead St.,2010,0,NIT
IUPUI,2010,0,NIT
Creighton,2010,0,NIT
Bradley,2010,0,NIT
Arkansas,2010,0,NIT
Washington St.,2010,0,NIT
Akron,2010,0,NIT
George Washington,2010,0,NIT
Iona,2010,0,NIT
New Mexico St.,2010,5,R64
Oregon,2010,0,NIT
Southern Illinois,2010,0,NIT
Fairfield,2010,0,NIT
Hofstra,2010,0,NIT
Louisiana Tech,2010,0,NIT
Oregon St.,2010,0,NIT
William & Mary,2010,0,NIT
Milwaukee,2010,0,NIT
Utah,2010,0,NIT
Harvard,2010,0,NIT
Green Bay,2010,0,NIT
Princeton,2010,0,NIT
Montana,2010,3,R64
Boston University,2010,0,NIT
Niagara,2010,0,NIT
Belmont,2010,0,NIT
Western Kentucky,2010,0,NIT
Weber St.,2010,0,NIT
SMU,2010,0,NIT
St. Bonaventure,2010,0,NIT
UC Santa Barbara,2010,2,R64
Appalachian St.,2010,0,NIT
Detroit,2010,0,NIT
Northern Colorado,2010,0,NIT
College of Charleston,2010,0,NIT
Drake,2010,0,NIT
Duquesne,2010,0,NIT
Oakland,2010,3,R64
Western Carolina,2010,0,NIT
Indiana St.,2010,0,NIT
Long Beach St.,2010,0,NIT
Coastal Carolina,2010,0,NIT
Cleveland St.,2010,0,NIT
TCU,2010,0,NIT
Vermont,2010,1,R64
Stephen F. Austin,2010,0,NIT
Oral Roberts,2010,0,NIT
Colorado St.,2010,0,NIT
Drexel,2010,0,NIT
George Mason,2010,0,NIT
Western Michigan,2010,0,NIT
Idaho,2010,0,NIT
Rutgers,2010,0,NIT
La Salle,2010,0,NIT
DePaul,2010,0,NIT
Boise St.,2010,0,NIT
Miami OH,2010,0,NIT
Campbell,2010,0,NIT
Loyola Marymount,2010,0,NIT
Middle Tennessee,2010,0,NIT
UCF,2010,0,NIT
LSU,2010,0,NIT
East Tennessee St.,2010,1,R64
Jacksonville,2010,0,NIT
Indiana,2010,0,NIT
Saint Joseph's,2010,0,NIT
Morgan St.,2010,2,R64
Stony Brook,2010,0,NIT
Buffalo,2010,0,NIT
Saint Peter's,2010,0,NIT
Eastern Kentucky,2010,0,NIT
Denver,2010,0,NIT
Iowa,2010,0,NIT
Central Michigan,2010,0,NIT
Fresno St.,2010,0,NIT
Valparaiso,2010,0,NIT
Massachusetts,2010,0,NIT
Lehigh,2010,1,R64
North Texas,2010,2,R64
UTSA,2010,0,NIT
Troy,2010,0,NIT
San Diego,2010,0,NIT
Robert Morris,2010,2,R64
Texas A&M Corpus Chris,2010,0,NIT
Seattle,2010,0,NIT
Manhattan,2010,0,NIT
San Jose St.,2010,0,NIT
Mount St. Mary's,2010,0,NIT
Davidson,2010,0,NIT
Lipscomb,2010,0,NIT
San Francisco,2010,0,NIT
The Citadel,2010,0,NIT
Rider,2010,0,NIT
Arkansas St.,2010,0,NIT
Eastern Michigan,2010,0,NIT
Bowling Green,2010,0,NIT
Quinnipiac,2010,0,NIT
Evansville,2010,0,NIT
Canisius,2010,0,NIT
Austin Peay,2010,0,NIT
Georgia St.,2010,0,NIT
Loyola Chicago,2010,0,NIT
South Dakota St.,2010,0,NIT
Mercer,2010,0,NIT
Eastern Illinois,2010,0,NIT
Montana St.,2010,0,NIT
Southeastern Louisiana,2010,0,NIT
Tulane,2010,0,NIT
Loyola MD,2010,0,NIT
Louisiana Lafayette,2010,0,NIT
Ball St.,2010,0,NIT
Portland St.,2010,0,NIT
Texas St.,2010,0,NIT
James Madison,2010,0,NIT
Florida Atlantic,2010,0,NIT
East Carolina,2010,0,NIT
IPFW,2010,0,NIT
Cal St. Fullerton,2010,0,NIT
Rice,2010,0,NIT
UNC Wilmington,2010,0,NIT
Radford,2010,0,NIT
UC Davis,2010,0,NIT
Hampton,2010,0,NIT
Youngstown St.,2010,0,NIT
Air Force,2010,0,NIT
Maine,2010,0,NIT
Holy Cross,2010,0,NIT
Northern Arizona,2010,0,NIT
Bucknell,2010,0,NIT
Illinois Chicago,2010,0,NIT
Northern Illinois,2010,0,NIT
Wyoming,2010,0,NIT
Santa Clara,2010,0,NIT
Winthrop,2010,1,R64
UC Riverside,2010,0,NIT
Cal St. Northridge,2010,0,NIT
Hawaii,2010,0,NIT
Furman,2010,0,NIT
Lafayette,2010,0,NIT
Samford,2010,0,NIT
Towson,2010,0,NIT
Arkansas Pine Bluff,2010,1,R64
UNC Greensboro,2010,0,NIT
Chattanooga,2010,0,NIT
Tennessee Tech,2010,0,NIT
North Dakota St.,2010,0,NIT
Jackson St.,2010,0,NIT
Cal Poly,2010,0,NIT
South Alabama,2010,0,NIT
Elon,2010,0,NIT
UT Arlington,2010,0,NIT
South Dakota,2010,0,NIT
Army,2010,0,NIT
Western Illinois,2010,0,NIT
Tennessee St.,2010,0,NIT
Nicholls St.,2010,0,NIT
UC Irvine,2010,0,NIT
Yale,2010,0,NIT
Delaware,2010,0,NIT
Delaware St.,2010,0,NIT
McNeese St.,2010,0,NIT
LIU Brooklyn,2010,0,NIT
South Carolina St.,2010,0,NIT
Brown,2010,0,NIT
Eastern Washington,2010,0,NIT
New Hampshire,2010,0,NIT
North Florida,2010,0,NIT
Colgate,2010,0,NIT
Pepperdine,2010,0,NIT
Texas Southern,2010,0,NIT
Louisiana Monroe,2010,0,NIT
Kennesaw St.,2010,0,NIT
Navy,2010,0,NIT
Jacksonville St.,2010,0,NIT
American,2010,0,NIT
Binghamton,2010,0,NIT
Norfolk St.,2010,0,NIT
Arkansas Little Rock,2010,0,NIT
Lamar,2010,0,NIT
High Point,2010,0,NIT
UNC Asheville,2010,0,NIT
Northwestern St.,2010,0,NIT
USC Upstate,2010,0,NIT
Bethune Cookman,2010,0,NIT
Sacred Heart,2010,0,NIT
Georgia Southern,2010,0,NIT
Longwood,2010,0,NIT
Florida Gulf Coast,2010,0,NIT
Fordham,2010,0,NIT
Sacramento St.,2010,0,NIT
Idaho St.,2010,0,NIT
Alabama St.,2010,0,NIT
UMKC,2010,0,NIT
Columbia,2010,0,NIT
Monmouth,2010,0,NIT
Albany,2010,0,NIT
Cal St. Bakersfield,2010,0,NIT
Central Arkansas,2010,0,NIT
FIU,2010,0,NIT
Penn,2010,0,NIT
Savannah St.,2010,0,NIT
Charleston Southern,2010,0,NIT
Liberty,2010,0,NIT
Prairie View A&M,2010,0,NIT
New Orleans,2010,0,NIT
St. Francis PA,2010,0,NIT
Central Connecticut,2010,0,NIT
Hartford,2010,0,NIT
North Carolina A&T,2010,0,NIT
Southeast Missouri St.,2010,0,NIT
VMI,2010,0,NIT
Centenary,2010,0,NIT
Fairleigh Dickinson,2010,0,NIT
Maryland Eastern Shore,2010,0,NIT
St. Francis NY,2010,0,NIT
Houston Baptist,2010,0,NIT
UMBC,2010,0,NIT
Florida A&M,2010,0,NIT
Southern Utah,2010,0,NIT
Presbyterian,2010,0,NIT
Toledo,2010,0,NIT
UT Rio Grande Valley,2010,0,NIT
Coppin St.,2010,0,NIT
Mississippi Valley St.,2010,0,NIT
Tennessee Martin,2010,0,NIT
