,teamName,year,returningMins%,wins,totalGames,OE,DE,sos,adjTempo
1,Houston Baptist,2011,53.5092981673,12.0,33,92.632083153833,111.55553108921,8.0691,73.871794219947
2,Houston Baptist,2012,28.28,5.0,29,90.453818173567,112.7572958193,6.9008620689655,71.655906191215
3,Houston Baptist,2013,68.2,7.0,27,91.618210036588,109.04757196977,11.133292592593,71.879991399575
4,Houston Baptist,2014,57.02,11.0,27,85.67748505078,102.43003481446,8.7514888888889,68.980368355374
5,Houston Baptist,2015,59.66,4.0,29,91.453460119781,111.05660860927,12.130193103448,69.547888868298
6,Houston Baptist,2016,70.34,8.0,24,98.675053018307,115.85865028813,11.125404166667,66.663216565328
7,Houston Baptist,2017,51.8,13.0,30,100.20692397342,112.92272442293,12.41921,71.100002072533
8,Houston Baptist,2018,33.46,13.0,27,103.91037728268,110.65159458211,14.434514814815,71.59220784768
9,Houston Baptist,2019,65.14,3.0,28,99.203342107608,115.38286045353,16.214535714286,74.646900529629
10,Houston Baptist,2020,54.4908977318,10.0,28,103.34476960598,113.03760632996,11.656528571429,73.591980228675
11,Houston Baptist,2021,41.6099319702,4.0,29,103.48241334874,121.30204957988,17.053455172414,76.145790596623
12,Houston Baptist,2022,49.7398956131,5.0,24,91.124519323947,112.44234104968,12.3488375,72.508531477945
14,Southeast Missouri St.,2011,43.6199999099,6.0,29,89.287690108793,105.80815145006,12.863455172414,68.089717796355
15,Southeast Missouri St.,2012,70.16,9.0,31,95.131961974438,108.63172448873,11.063009677419,68.19535152622
16,Southeast Missouri St.,2013,69.58,13.0,29,103.44773644536,109.58922178818,10.983051724138,65.719908620014
17,Southeast Missouri St.,2014,44.42,15.0,31,103.18933747984,106.66757156451,11.174922580645,68.285676055368
18,Southeast Missouri St.,2015,62.34,16.0,30,107.50910577964,113.22963770445,9.80284,70.600621745381
19,Southeast Missouri St.,2016,44.86,11.0,28,101.72496563315,105.63820258516,11.699571428571,66.203469590352
20,Southeast Missouri St.,2017,47.9,3.0,27,91.090857243437,108.91338461572,11.783348148148,71.880635493389
21,Southeast Missouri St.,2018,38.1,13.0,31,101.6227705484,108.74343705593,10.722329032258,69.759507324394
22,Southeast Missouri St.,2019,44.7,12.0,29,107.15169007706,115.67659286111,11.023620689655,70.194577488378
23,Southeast Missouri St.,2020,52.6505295583,8.0,29,97.561715572592,111.27363537412,13.025406896552,67.710881568829
24,Southeast Missouri St.,2021,31.1062212001,5.0,29,95.265050995861,112.93123624803,10.712010344828,67.424163017501
25,Southeast Missouri St.,2022,89.2978594999,11.0,27,95.463853743297,105.35784498696,7.577862962963,68.353971832429
27,Xavier,2011,63.5054013551,26.0,35,115.60444190801,94.498061331075,30.403085714286,69.826467345874
28,Xavier,2012,40.2,24.0,32,110.77287517519,95.88472118475,23.003853125,65.887711857071
29,Xavier,2013,29.92,23.0,36,107.08345201655,95.048483392192,27.878683333333,67.51334266915
30,Xavier,2014,61.1,17.0,31,105.06519740487,94.283886416645,23.759661290323,63.141504672857
31,Xavier,2015,54.06,21.0,34,112.04394499091,99.510180087258,29.673817647059,65.979297034737
32,Xavier,2016,65.88,23.0,37,115.80935816551,95.104763167011,33.448837837838,65.543060272107
33,Xavier,2017,61.28,28.0,34,117.04519388836,94.253476952335,29.938911764706,72.382654439304
34,Xavier,2018,66.64,24.0,38,115.58880914984,97.806336603161,35.56945,68.381459193258
35,Xavier,2019,41.86,29.0,35,120.87388680653,97.657314255099,31.41486,71.677520103049
36,Xavier,2020,65.3938424716,19.0,35,111.26034790828,100.32025427502,26.363051428571,65.122727940918
37,Xavier,2021,45.8741262923,19.0,32,106.39899812605,92.15799171882,30.55575625,68.103252599572
38,Xavier,2022,78.4972018669,13.0,21,109.7557845545,97.597874785549,24.752538095238,68.139326967322
40,Eastern Michigan,2011,68.4136831472,15.0,30,98.064792467715,100.69882599213,13.113733333333,66.846325627241
41,Eastern Michigan,2012,60.1,6.0,28,89.177251790442,99.312680492961,11.501992857143,67.521870181455
42,Eastern Michigan,2013,58.72,13.0,31,89.248018476432,98.401539935086,16.063587096774,60.226937905691
43,Eastern Michigan,2014,67.36,13.0,31,92.054922142475,96.569796174654,15.724832258065,61.061838083523
44,Eastern Michigan,2015,43.7,19.0,34,97.876421943999,94.410929952861,16.858908823529,64.811099226964
45,Eastern Michigan,2016,44.66,17.0,31,99.541396360818,97.494682340236,15.784709677419,66.29257951298
46,Eastern Michigan,2017,75.64,14.0,29,105.51882044561,104.25686294242,17.688886206897,71.189124673081
47,Eastern Michigan,2018,41.2,12.0,29,105.44589215908,104.42866412392,16.617862068966,69.609383125137
48,Eastern Michigan,2019,71.58,18.0,31,101.34646685673,99.111175633164,12.256716129032,65.985887496296
49,Eastern Michigan,2020,24.3848774633,11.0,28,102.40826094811,102.60219624123,22.674989285714,62.850072264365
50,Eastern Michigan,2021,61.0633617845,12.0,28,94.786635189447,96.702471168406,16.334657142857,66.729870505704
51,Eastern Michigan,2022,34.1336535506,3.0,15,99.184112697424,109.02267294697,18.059706666667,67.90351145439
53,Denver,2011,69.3400004851,19.0,32,105.10929936244,105.73831880758,9.097328125,59.886624981774
54,Denver,2012,79.16,13.0,30,97.976032606936,101.25821120059,11.19839,57.96117708951
55,Denver,2013,62.42,22.0,31,108.96897577863,98.561805305489,11.576322580645,61.265641903023
56,Denver,2014,62.48,22.0,32,109.01488775536,94.752473177592,16.3086875,59.07783467587
57,Denver,2015,76.18,15.0,30,110.24752093342,108.88087999066,16.094576666667,59.432230025089
