,teamName,stars,year
0,Abilene Christian,10,2013
1,Abilene Christian University,2,2013
2,Adelphi University,2,2013
3,Adrian College,2,2013
4,Alabama Southern Community College,2,2013
5,Allan Hancock College,2,2013
6,American,4.3,2013
7,Anderson University,4,2013
8,Angelo State University,6,2013
9,Antelope Valley College,2,2013
10,Appalachian State,2,2013
11,Arizona,5.3,2013
12,Arizona Christian University,2,2013
13,Arizona State,2,2013
14,Arkansas,2.5,2013
15,Arkansas State,2,2013
16,Arkansas Tech University,2,2013
17,Arkansas–Pine Bluff,2,2013
18,Armstrong Atlantic State University,4,2013
19,Assumption University,2,2013
20,Augustana College,2,2013
21,Austin Peay,2,2013
22,Baltimore City Community College,2,2013
23,Barry University,2,2013
24,Baton Rouge Community College,3,2013
25,Bellarmine University,4,2013
26,Belmont Abbey College,2,2013
27,Bemidji State University,2,2013
28,Bethune–Cookman,6,2013
29,Binghamton,2,2013
30,Biola University,4,2013
31,Birmingham Southern College,2,2013
32,Blinn College,2,2013
33,Bossier Parish Community College,2,2013
34,Boston College,2.7,2013
35,Bradley,4.3,2013
36,Cabrillo College,2,2013
37,Cal Poly Pomona,5,2013
38,Cal State Dominguez Hills,2,2013
39,Cal State Fullerton,6,2013
40,Cal State Northridge,2,2013
41,Cal State University-San Marcos,6,2013
42,Cal-State Los Angeles,2,2013
43,Cameron University,2,2013
44,Campbell,3,2013
45,Cape Breton University,2,2013
46,Cedarville University,2,2013
47,Central Arizona College,2.3,2013
48,Central Michigan,2,2013
49,Chaminade University,5,2013
50,Charlotte,3.5,2013
51,Christian Brothers University,2,2013
52,Citrus College,3,2013
53,Clarendon College,2,2013
54,Clarion University,2,2013
55,Clayton State University,2,2013
56,Clemson,3.5,2013
57,Cleveland State,2.3,2013
58,Colgate,4,2013
59,College of Southern Idaho,2,2013
60,College of Wooster,2,2013
61,College of the Canyons,4,2013
62,Collin College,2.7,2013
63,Colorado Christian University,2,2013
64,Columbus State University,2,2013
65,Concord University,6,2013
66,Concordia University-St. Paul,6,2013
67,Connecticut,4,2013
68,Cosumnes River College,2,2013
69,Cowley County Community College,2.3,2013
70,Dallas Baptist University,4,2013
71,Davidson,2,2013
72,Davidson County Community College,2,2013
73,Dayton,8,2013
74,DePaul,2,2013
75,Denver,3,2013
76,Detroit Mercy,4,2013
77,Dominican University of California,2,2013
78,Drake,2,2013
79,Drury University,2,2013
80,Duke,4.7,2013
81,Duquesne,2,2013
82,ETSU,2.3,2013
83,East Mississippi Community College,4,2013
84,Eastern Illinois,3,2013
85,Eastern Michigan,2,2013
86,Elizabeth City State University,2,2013
87,Emory University,2,2013
88,Fairfield,2.3,2013
89,Fairleigh Dickinson,2,2013
90,Fairmont State University,2.5,2013
91,Felician College,2,2013
92,Ferris State University,2,2013
93,Flagler College,2,2013
94,Florida,8.7,2013
95,Florida Atlantic,2,2013
96,Florida Gulf Coast,6,2013
97,Florida International,16.3,2013
98,Florida State College,4.3,2013
99,Fort Hays State University,2,2013
100,Francis Marion University,6,2013
101,Franklin & Marshall College,2,2013
102,Furman,2.7,2013
103,GCU,2,2013
104,Gannon University,2,2013
105,Gardner–Webb,4,2013
106,Georgetown College,4,2013
107,Georgia Southern,2,2013
108,Georgia State,2,2013
109,Glendale Junior College,2,2013
110,Gonzaga,6,2013
111,Gordon State College,2,2013
112,Grambling State,2,2013
113,Grand Valley State University,2,2013
114,Green Bay,2,2013
115,Guilford College,2,2013
116,Hampton,2,2013
117,Harding University,2,2013
118,Hartford,2,2013
119,Hawai'l Pacific University,4,2013
120,Hawaii,2.5,2013
121,High Point,4,2013
122,Highland Community College,2,2013
123,Highline Community College,2,2013
124,Hillsdale College,2,2013
125,Hofstra,2,2013
126,Howard,2.3,2013
127,Howard College,2.3,2013
128,Humboldt State,2,2013
129,Humboldt State University,2,2013
130,Hutchinson Community College,2.3,2013
131,IUPUI,4,2013
132,Idaho,2,2013
133,Illinois,4.3,2013
134,Incarnate Word,2,2013
135,Indian Hills Community College,3,2013
136,Indiana,4,2013
137,Indiana University-Pennsylvania,4,2013
138,Iona,5.3,2013
139,Iowa,3.3,2013
140,Iowa State,6,2013
141,Iowa Western Community College,4,2013
142,Jackson State,6.5,2013
143,Jacksonville,2.3,2013
144,Jacksonville College,4,2013
145,Jacksonville State,2,2013
146,Jamestown College,2,2013
147,John A. Logan College,2,2013
148,Jones County Community College,2,2013
149,Kankakee Community College,2,2013
150,Kennesaw State,6.3,2013
151,Kent State,2,2013
152,Kentucky,3,2013
153,Kentucky Wesleyan College,2,2013
154,Kilgore Junior College,2,2013
155,LIU,2,2013
156,LSU,2,2013
157,La Salle,4,2013
158,Lake Superior State University,2,2013
159,Lakeland Community College,2,2013
160,Lamar State-Port Arthur,2.5,2013
161,Lander University,4,2013
162,Lawson State Community College,2,2013
163,LeMoyne College,2,2013
164,Lee Community College,2.3,2013
165,Lee University,4,2013
166,Life University,2.5,2013
167,Lindsey Wilson College,4,2013
168,Lon Morris College,2,2013
169,Long Beach State,10.3,2013
170,Lourdes University,2,2013
171,Loyola (MD),2,2013
172,Loyola Chicago,2,2013
173,Loyola Marymount,2,2013
174,Manhattan,5,2013
175,Marion University,2,2013
176,Marquette,6,2013
177,Marshall,2,2013
178,Martin Methodist College,2,2013
179,Maryland,10,2013
180,Massachusetts,3.3,2013
181,McLennan Community College,2.7,2013
182,Mercer,2,2013
183,Merrimack College,2,2013
184,Miami (OH),2,2013
185,Miami Dade College,2,2013
186,Middle Tennessee,2,2013
187,Midland College,4,2013
188,Midwestern State University,2,2013
189,Milwaukee,2,2013
190,Mineral Area College,2,2013
191,Minnesota State University,8,2013
192,Minnesota State University-Moorhead,2,2013
193,Minot State University,2,2013
194,Mississippi College,2,2013
195,Mississippi Gulf Coast Community College,2,2013
196,Missouri,7.7,2013
197,Monmouth,2.3,2013
198,Monroe Community College,3.3,2013
199,Montana State,2,2013
200,Montana State University-Billings,4,2013
201,Morehead State,6.5,2013
202,Mount Vernon Nazarene University,2,2013
203,NC State,3.3,2013
204,NJIT,2,2013
205,Nebraska,5.4,2013
206,Nebraska (Track & Field),2,2013
207,Nevada,2.5,2013
208,New Hope Christian College,3,2013
209,New Mexico,2.3,2013
210,New Mexico Junior College,3,2013
211,Niagara,4,2013
212,Norfolk State,4,2013
213,North Dakota,4,2013
214,North Georgia College & State University,4,2013
215,North Greenville University,2,2013
216,North Idaho College,2,2013
217,Northeast Mississippi Community College,2,2013
218,Northeastern,2,2013
219,Northeastern Junior College,4,2013
220,Northern Arizona,2,2013
221,Northern Illinois,2,2013
222,Northern Iowa,2.3,2013
223,Northern Kentucky,4,2013
224,Northern Michigan University,2,2013
225,Northern Nazarene University,2,2013
226,Northwest Florida State College,6.3,2013
227,Northwestern,3.5,2013
228,Northwood University,2,2013
229,Nova Southeastern University,4,2013
230,Oakland,6,2013
231,Ohio,7.7,2013
232,Oklahoma,2.7,2013
233,Oklahoma City University,2,2013
234,Old Dominion,3.5,2013
235,Omaha,2,2013
236,Oregon,3.5,2013
237,Otero Junior College,4,2013
238,Our Lady of the Lake University,2,2013
239,Paul Quinn College,2,2013
240,Pearl River Community College,2,2013
241,Peninsula College,2,2013
242,Penn,2.3,2013
243,Pensacola State College,2,2013
244,Pepperdine,4,2013
245,Philadelphia University,2.3,2013
246,Pittsburgh,4,2013
247,Point Loma Nazarene University,4,2013
248,Portland State,2,2013
249,Prairie View A&M,2,2013
250,Providence,7.3,2013
251,Quincy University,2,2013
252,Rhode Island,9,2013
253,Rider,3,2013
254,Robert Morris,2,2013
255,Rogers State University,4.5,2013
256,Rollins College,4,2013
257,Roosevelt University,2,2013
258,SIUE,4.3,2013
259,SMU,14.7,2013
260,Sacramento State,2.7,2013
261,Saint Louis,2.5,2013
262,Saint Mary's,3,2013
263,Salt Lake Community College,4,2013
264,Samford,2,2013
265,San Bernardino Valley College,2,2013
266,San Diego State,2,2013
267,San Francisco,4.8,2013
268,San Jacinto Colege,2,2013
269,San Jose City College,2,2013
270,Sauk Valley Community College,2,2013
271,Seattle,4.7,2013
272,Seattle Pacific University,2,2013
273,Seton Hall,5,2013
274,Seton Hill University,2,2013
275,Seward County Community College,2,2013
276,Simon Fraser University,2,2013
277,Simpson College,2,2013
278,Sonoma State University,2,2013
279,South Alabama,4.5,2013
280,South Carolina,2.5,2013
281,South Dakota,4,2013
282,South Florida,4.5,2013
283,South Plains College,2.3,2013
284,South Texas College,2,2013
285,Southeast Missouri State,5.7,2013
286,Southern,9,2013
287,Southern Miss,10.6,2013
288,Southern University of New Orleans,2,2013
289,Southwest Mississippi Community College,4,2013
290,Southwest Tennessee Community College,3,2013
291,Southwestern Illinois College,2,2013
292,Spartanburg Methodist College,2,2013
293,Spring Hill College,2,2013
294,St. Anselm College,2,2013
295,St. Augustine's University,6,2013
296,St. Cloud State University,2,2013
297,St. Edward's University,2,2013
298,St. John's,2,2013
299,St. Joseph's College,2,2013
300,St. Leo University,2,2013
301,St. Mary's University,2,2013
302,St. Peter's,7,2013
303,Stetson,2,2013
304,Syracuse,4,2013
305,TCU,3,2013
306,Tarleton State University,2,2013
307,Temple,2,2013
308,Temple College,2,2013
309,Tennessee State,2,2013
310,Tennessee Tech,4.3,2013
311,Tennessee Temple University,2,2013
312,Texas A&M,4,2013
313,Texas A&M - Commerce,2,2013
314,Texas Tech,2.3,2013
315,Texas Wesleyan University,2,2013
316,Toledo,5,2013
317,Towson,5,2013
318,Trinidad State Junior College,2,2013
319,Trinity Valley Community College,2,2013
320,Triton College,2,2013
321,Tulsa,2,2013
322,Tyler Junior College,2.3,2013
323,UAB,2,2013
324,UC Davis,4.5,2013
325,UC Irvine,3,2013
326,UIC,7.5,2013
327,UMass-Lowell,2,2013
328,UNCG,6.3,2013
329,UNCW,3,2013
330,UNLV,4,2013
331,USC,7,2013
332,USC-Aiken,12,2013
333,UT Arlington,2.5,2013
334,UTEP,2.5,2013
335,UTSA,2.5,2013
336,University of Arkansas-Fort Smith,4.3,2013
337,University of Bridgeport,4,2013
338,University of Central Oklahoma,2,2013
339,University of Chicago,2,2013
340,University of La Verne,2,2013
341,University of Mary,2,2013
342,University of Mobile,2,2013
343,University of North Alabama,6,2013
344,University of Pikeville,4.3,2013
345,University of Sioux Falls,2,2013
346,University of St. Thomas,2,2013
347,University of Texas the Permain Basin,2,2013
348,University of West Alabama,2,2013
349,University of West Florida,4,2013
350,University of Wisconsin-La Crosse,2,2013
351,University of Wisconsin-Stevens Point,2,2013
352,University of the District of Columbia,4,2013
353,Upper Iowa University,2,2013
354,Urbana University,2.5,2013
355,Utah,4,2013
356,Utah State,2,2013
357,Utah Valley,2,2013
358,Valdosta State University,4,2013
359,Valparaiso,5.6,2013
360,Vanderbilt,2,2013
361,Vermont,6.8,2013
362,Villanova,5.3,2013
363,Vincennes University,2,2013
364,Virginia,3.7,2013
365,Virginia State University,6,2013
366,Virginia Tech,2.3,2013
367,Volunteer State Community College,2,2013
368,Wabash Valley College,2,2013
369,Wagner,2.7,2013
370,Walla Walla Community College,2,2013
371,Walsh University,4,2013
372,Washington,4,2013
373,Washington State,5.7,2013
374,Wayne State University,2,2013
375,West Chester University,2,2013
376,West Virginia,3.5,2013
377,Western Nebraska Community College,2.7,2013
378,Western Oregon University,2,2013
379,Western State Colorado University,2,2013
380,Wichita State,2,2013
381,Williams College,2,2013
382,Wingate Universty,2,2013
383,Wyoming,3.7,2013
384,Xavier,2,2013
385,Xavier University of Louisiana,2,2013
386,Adelphi University,2,2014
387,Alabama,4.3,2014
388,Albany State University,2,2014
389,Alcorn State,3,2014
390,Alderson-Broaddus College,2,2014
391,Allan Hancock College,2,2014
392,American,4.7,2014
393,Angelina College,2,2014
394,Appalachian State,3,2014
395,Arizona,3,2014
396,Arizona State,5,2014
397,Arizona Western College,2.7,2014
398,Arkansas,3,2014
399,Arkansas State,8.1,2014
400,Arkansas Tech University,2,2014
401,Asa College,3,2014
402,Ashland University,2,2014
403,Azusa Pacific University,2,2014
404,Barry University,6,2014
405,Barton County Community College,2,2014
406,Baton Rouge Community College,2,2014
407,Baylor,2,2014
408,Bellarmine University,4.7,2014
409,Belmont,2.7,2014
410,Benedict College,2,2014
411,Benedictine University,2,2014
412,Bethel University,2,2014
413,Blinn College,6,2014
414,Bob Jones University,2,2014
415,Boston University,5.3,2014
416,Bowie State University,4,2014
417,Bradley,4,2014
418,Brigham Young,3,2014
419,Brunswick Community College,2,2014
420,Bryant,2,2014
421,Buffalo,4.8,2014
422,Cal Poly Pomona,2,2014
423,Cal State Bakersfield,2,2014
424,Cal State Dominquez Hills,2,2014
425,Cal State Fullerton,5,2014
426,Cal State Los Angeles,6,2014
427,Cal State Northridge,14,2014
428,Cal State San Bernardino,2,2014
429,California Baptist University,2,2014
430,"California State University, San Bernardino",4.3,2014
431,"California State University, San Marcos",6.3,2014
432,California State University-East Bay,2,2014
433,California University of Pennsylvania,2,2014
434,Cameron University,6,2014
435,Campbell,5,2014
436,Campbellsville University,4,2014
437,Canisius,3,2014
438,Cape Fear Community College,2,2014
439,Carson–Newman University,2,2014
440,Case Western Reserve University,2,2014
441,Casper College,2,2014
442,Central Arizona College,4,2014
443,Central Washington University,2,2014
444,Chaminade University,8,2014
445,Charlotte,10,2014
446,Chattanooga,2.7,2014
447,Chicago State,2,2014
448,Christopher Newport University,2,2014
449,Citrus College,2.3,2014
450,City College of San Francisco,4,2014
451,Clark Atlanta University,2,2014
452,Clark Community College,2,2014
453,Cleveland State,4.3,2014
454,Cloud County Community College,4,2014
455,Coastal Carolina,6.7,2014
456,Coffeyville Community College,2,2014
457,Coker College,2,2014
458,College of Central Florida,3,2014
459,College of Southern Idaho,4,2014
460,College of the Canyons,2,2014
461,Colorado State,6.7,2014
462,Colorado State University-Pueblo,2,2014
463,Columbia State Community College,2,2014
464,Columbus State Community College,2,2014
465,Columbus State University,2,2014
466,Concordia University Wisconsin,2,2014
467,"Concordia University, St. Paul",2.5,2014
468,Connecticut,6.7,2014
469,Connors State College,2,2014
470,Daytona State College,2,2014
471,DePaul,6.5,2014
472,DePauw University,2,2014
473,Delaware,2,2014
474,Delaware State,2,2014
475,Delta State University,2,2014
476,Detroit Mercy,2.3,2014
477,Dixie State University,4,2014
478,Drake,2.3,2014
479,Drexel,2.3,2014
480,Duquesne,2,2014
481,East Carolina,5.7,2014
482,East Central University,4,2014
483,East Georgia State College,3,2014
484,East Mississippi Community College,6.7,2014
485,East Stroudsburg University,2,2014
486,Eastern Illinois,4.7,2014
487,Eastern Michigan,2.7,2014
488,Eastern New Mexico University,2,2014
489,Eastern Oregon University,2,2014
490,Elizabeth City State College,2,2014
491,Elizabeth City State University,2,2014
492,Emmanuel College,2,2014
493,Emporia State University,2,2014
494,Evansville,2.7,2014
495,Fair State Community College,2.3,2014
496,Fairfield,3.7,2014
497,Fairleigh Dickinson,2.5,2014
498,Fairmont State University,6,2014
499,Ferris State University,2,2014
500,Flagler College,4,2014
