teamName,year,seed_points,results,prev_3s_recruits,prev_4s_recruits,prev_5s_recruits,curr_3s_recruits,curr_4s_recruits,curr_5s_recruits
Abilene Christian,2015,0,NIT,0,0,0,0,0,0
Abilene Christian,2016,0,NIT,0,0,0,0,0,0
Abilene Christian,2017,0,NIT,0,0,0,0,0,0
Abilene Christian,2018,0,NIT,0,0,0,0,0,0
Abilene Christian,2019,0,NIT,0,0,0,0,0,0
Abilene Christian,2020,2,R64,0,0,0,0,0,0
Abilene Christian,2021,0,NIT,0,0,0,0,0,0
Air Force,2013,0,NIT,0,0,0,0,0,0
Air Force,2014,0,NIT,0,0,0,0,0,0
Air Force,2015,0,NIT,0,0,0,0,0,0
Air Force,2016,0,NIT,0,0,0,0,0,0
Air Force,2017,0,NIT,0,0,0,0,0,0
Air Force,2018,0,NIT,0,0,0,0,0,0
Air Force,2019,0,NIT,0,0,0,0,0,0
Air Force,2020,0,NIT,0,0,0,1,0,0
Air Force,2021,0,NIT,1,0,0,0,0,0
Akron,2013,0,NIT,0,0,0,0,0,0
Akron,2014,5,R64,0,0,0,0,0,0
Akron,2015,0,NIT,0,0,0,1,0,0
Akron,2016,0,NIT,1,0,0,0,0,0
Akron,2017,0,NIT,0,0,0,0,0,0
Akron,2018,0,NIT,0,0,0,0,0,0
Akron,2019,0,NIT,0,0,0,0,0,0
Akron,2020,0,NIT,0,0,0,1,0,0
Akron,2021,4,R64,1,0,0,1,0,0
Alabama,2013,8,R64,1,4,0,0,0,1
Alabama,2014,0,NIT,0,0,1,1,2,0
Alabama,2015,0,NIT,1,2,0,1,3,0
Alabama,2016,0,NIT,1,3,0,3,0,0
Alabama,2017,0,NIT,3,0,0,0,2,0
Alabama,2018,0,NIT,0,2,0,2,2,1
Alabama,2019,8,R32,2,2,1,2,2,0
Alabama,2020,0,NIT,2,2,0,2,3,0
Alabama,2021,0,NIT,2,3,0,2,3,0
Alabama A&M,2013,0,NIT,0,0,0,0,0,0
Alabama A&M,2014,0,NIT,0,0,0,0,0,0
Alabama A&M,2015,0,NIT,0,0,0,0,0,0
Alabama A&M,2016,0,NIT,0,0,0,0,0,0
Alabama A&M,2017,0,NIT,0,0,0,0,0,0
Alabama A&M,2018,0,NIT,0,0,0,0,0,0
Alabama A&M,2019,0,NIT,0,0,0,0,0,0
Alabama A&M,2020,0,NIT,0,0,0,0,0,0
Alabama A&M,2021,0,NIT,0,0,0,0,0,0
Alabama St.,2013,0,NIT,0,0,0,0,0,0
Alabama St.,2014,0,NIT,0,0,0,0,0,0
Alabama St.,2015,0,NIT,0,0,0,0,0,0
Alabama St.,2016,0,NIT,0,0,0,1,0,0
Alabama St.,2017,0,NIT,1,0,0,0,0,0
Alabama St.,2018,0,NIT,0,0,0,0,0,0
Alabama St.,2019,0,NIT,0,0,0,0,0,0
Alabama St.,2020,0,NIT,0,0,0,0,0,0
Alabama St.,2021,0,NIT,0,0,0,0,0,0
Albany,2013,0,NIT,0,0,0,0,0,0
Albany,2014,2,R64,0,0,0,0,0,0
Albany,2015,1,R64,0,0,0,0,0,0
Albany,2016,3,R64,0,0,0,0,0,0
Albany,2017,0,NIT,0,0,0,0,0,0
Albany,2018,0,NIT,0,0,0,0,0,0
Albany,2019,0,NIT,0,0,0,0,0,0
Albany,2020,0,NIT,0,0,0,1,0,0
Albany,2021,0,NIT,1,0,0,0,0,0
Alcorn St.,2013,0,NIT,0,0,0,0,0,0
Alcorn St.,2014,0,NIT,0,0,0,0,0,0
Alcorn St.,2015,0,NIT,0,0,0,0,0,0
Alcorn St.,2016,0,NIT,0,0,0,0,0,0
Alcorn St.,2017,0,NIT,0,0,0,0,0,0
Alcorn St.,2018,0,NIT,0,0,0,0,0,0
Alcorn St.,2019,0,NIT,0,0,0,0,0,0
Alcorn St.,2020,0,NIT,0,0,0,0,0,0
Alcorn St.,2021,0,NIT,0,0,0,0,0,0
American,2013,0,NIT,0,0,0,0,0,0
American,2014,0,NIT,0,0,0,0,0,0
American,2015,2,R64,0,0,0,0,0,0
American,2016,0,NIT,0,0,0,0,0,0
American,2017,0,NIT,0,0,0,0,0,0
American,2018,0,NIT,0,0,0,0,0,0
American,2019,0,NIT,0,0,0,0,0,0
American,2020,0,NIT,0,0,0,0,0,0
American,2021,0,NIT,0,0,0,0,0,0
Appalachian St.,2013,0,NIT,0,0,0,0,0,0
Appalachian St.,2014,0,NIT,0,0,0,0,0,0
Appalachian St.,2015,0,NIT,0,0,0,0,0,0
Appalachian St.,2016,0,NIT,0,0,0,1,0,0
Appalachian St.,2017,0,NIT,1,0,0,0,0,0
Appalachian St.,2018,0,NIT,0,0,0,0,0,0
Appalachian St.,2019,0,NIT,0,0,0,0,0,0
Appalachian St.,2020,0,NIT,0,0,0,2,0,0
Appalachian St.,2021,0,NIT,2,0,0,2,0,0
Arizona,2013,0,NIT,0,2,2,0,1,3
Arizona,2014,11,S16,0,1,3,0,1,2
Arizona,2015,16,E8,0,1,2,1,3,1
Arizona,2016,15,E8,1,3,1,0,2,2
Arizona,2017,11,R64,0,2,2,1,1,2
Arizona,2018,15,S16,1,1,2,0,3,2
Arizona,2019,13,R64,0,3,2,0,3,0
Arizona,2020,0,NIT,0,3,0,1,1,2
Arizona,2021,10,R32,1,1,2,1,5,0
Arizona St.,2013,0,NIT,1,1,0,3,0,0
Arizona St.,2014,0,NIT,3,0,0,2,0,0
Arizona St.,2015,7,R64,2,0,0,3,2,0
Arizona St.,2016,0,NIT,3,2,0,3,0,0
Arizona St.,2017,0,NIT,3,0,0,1,3,0
Arizona St.,2018,0,NIT,1,3,0,1,2,0
Arizona St.,2019,6,R64,1,2,0,1,3,0
Arizona St.,2020,6,R64,1,3,0,5,1,0
Arizona St.,2021,7,R64,5,1,0,1,2,1
Arkansas,2013,0,NIT,1,3,1,4,1,0
Arkansas,2014,0,NIT,4,1,0,1,1,1
Arkansas,2015,0,NIT,1,1,1,3,1,0
Arkansas,2016,12,R32,3,1,0,0,1,0
Arkansas,2017,0,NIT,0,1,0,3,3,0
Arkansas,2018,9,R32,3,3,0,3,1,0
Arkansas,2019,10,R64,3,1,0,7,0,0
Arkansas,2020,0,NIT,7,0,0,1,0,0
Arkansas,2021,0,NIT,1,0,0,0,4,0
Arkansas Pine Bluff,2013,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2014,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2015,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2016,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2017,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2018,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2019,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2020,0,NIT,0,0,0,0,0,0
Arkansas Pine Bluff,2021,0,NIT,0,0,0,0,0,0
Arkansas St.,2013,0,NIT,0,0,0,0,0,0
Arkansas St.,2014,0,NIT,0,0,0,0,0,0
Arkansas St.,2015,0,NIT,0,0,0,0,0,0
Arkansas St.,2016,0,NIT,0,0,0,0,0,0
Arkansas St.,2017,0,NIT,0,0,0,0,0,0
Arkansas St.,2018,0,NIT,0,0,0,1,0,0
Arkansas St.,2019,0,NIT,1,0,0,0,0,0
Arkansas St.,2020,0,NIT,0,0,0,0,0,0
Arkansas St.,2021,0,NIT,0,0,0,0,0,0
Army,2013,0,NIT,0,0,0,0,0,0
Army,2014,0,NIT,0,0,0,0,0,0
Army,2015,0,NIT,0,0,0,0,0,0
Army,2016,0,NIT,0,0,0,0,0,0
Army,2017,0,NIT,0,0,0,0,0,0
Army,2018,0,NIT,0,0,0,0,0,0
Army,2019,0,NIT,0,0,0,0,0,0
Army,2020,0,NIT,0,0,0,0,0,0
Army,2021,0,NIT,0,0,0,0,0,0
Auburn,2013,0,NIT,3,0,0,4,2,0
Auburn,2014,0,NIT,4,2,0,6,0,0
Auburn,2015,0,NIT,6,0,0,1,2,0
Auburn,2016,0,NIT,1,2,0,2,3,0
Auburn,2017,0,NIT,2,3,0,1,2,1
Auburn,2018,0,NIT,1,2,1,1,2,0
Auburn,2019,13,R32,1,2,0,0,0,0
Auburn,2020,12,F4,0,0,0,4,3,0
Auburn,2021,12,R32,4,3,0,3,1,1
Austin Peay,2013,0,NIT,0,0,0,0,0,0
Austin Peay,2014,0,NIT,0,0,0,0,0,0
Austin Peay,2015,0,NIT,0,0,0,0,0,0
Austin Peay,2016,0,NIT,0,0,0,0,0,0
Austin Peay,2017,1,R64,0,0,0,0,0,0
Austin Peay,2018,0,NIT,0,0,0,0,0,0
Austin Peay,2019,0,NIT,0,0,0,0,0,0
Austin Peay,2020,0,NIT,0,0,0,0,0,0
Austin Peay,2021,0,NIT,0,0,0,1,0,0
BYU,2013,3,R64,1,0,0,0,0,0
BYU,2014,0,NIT,0,0,0,3,2,0
BYU,2015,7,R64,3,2,0,2,2,0
BYU,2016,6,R64,2,2,0,1,0,0
BYU,2017,0,NIT,1,0,0,1,2,0
BYU,2018,0,NIT,1,2,0,1,0,0
BYU,2019,0,NIT,1,0,0,1,0,0
BYU,2020,0,NIT,1,0,0,2,0,0
BYU,2021,11,R32,2,0,0,3,0,0
Ball St.,2013,0,NIT,0,0,0,0,0,0
Ball St.,2014,0,NIT,0,0,0,2,1,0
Ball St.,2015,0,NIT,2,1,0,0,1,0
Ball St.,2016,0,NIT,0,1,0,1,0,0
Ball St.,2017,0,NIT,1,0,0,1,0,0
Ball St.,2018,0,NIT,1,0,0,2,0,0
Ball St.,2019,0,NIT,2,0,0,0,0,0
Ball St.,2020,0,NIT,0,0,0,2,0,0
Ball St.,2021,0,NIT,2,0,0,0,0,0
Baylor,2013,14,E8,1,1,1,1,3,1
Baylor,2014,0,NIT,1,3,1,0,3,0
Baylor,2015,11,S16,0,3,0,3,1,0
Baylor,2016,14,R64,3,1,0,2,1,0
Baylor,2017,12,R64,2,1,0,2,1,0
Baylor,2018,14,S16,2,1,0,1,1,0
Baylor,2019,0,NIT,1,1,0,1,2,0
Baylor,2020,8,R32,1,2,0,1,0,0
Baylor,2021,16,F2,1,0,0,1,2,0
Belmont,2013,3,R64,0,0,0,0,0,0
Belmont,2014,6,R64,0,0,0,0,0,0
Belmont,2015,0,NIT,0,0,0,1,1,0
Belmont,2016,2,R64,1,1,0,0,0,0
Belmont,2017,0,NIT,0,0,0,0,0,0
Belmont,2018,0,NIT,0,0,0,2,0,0
Belmont,2019,0,NIT,2,0,0,1,0,0
Belmont,2020,6,R64,1,0,0,0,0,0
Belmont,2021,3,R64,0,0,0,0,0,0
Bethune Cookman,2013,0,NIT,0,0,0,0,0,0
Bethune Cookman,2014,0,NIT,0,0,0,0,0,0
Bethune Cookman,2015,0,NIT,0,0,0,0,0,0
Bethune Cookman,2016,0,NIT,0,0,0,0,0,0
Bethune Cookman,2017,0,NIT,0,0,0,0,0,0
Bethune Cookman,2018,0,NIT,0,0,0,0,0,0
Bethune Cookman,2019,0,NIT,0,0,0,0,0,0
Bethune Cookman,2020,0,NIT,0,0,0,0,0,0
Bethune Cookman,2021,0,NIT,0,0,0,0,0,0
Binghamton,2013,0,NIT,0,0,0,0,0,0
Binghamton,2014,0,NIT,0,0,0,0,0,0
Binghamton,2015,0,NIT,0,0,0,0,0,0
Binghamton,2016,0,NIT,0,0,0,0,0,0
Binghamton,2017,0,NIT,0,0,0,0,0,0
Binghamton,2018,0,NIT,0,0,0,0,0,0
