,new team,stars,year
0,Abilene Christian,10.0,2012
1,Abilene Christian University,2.0,2012
2,Adelphi University,2.0,2012
3,Adrian College,2.0,2012
4,Alabama Southern Community College,2.0,2012
5,Allan Hancock College,2.0,2012
6,American,4.3,2012
7,Anderson University,4.0,2012
8,Angelo State University,6.0,2012
9,Antelope Valley College,2.0,2012
10,Appalachian State,2.0,2012
11,Arizona,5.3,2012
12,Arizona Christian University,2.0,2012
13,Arizona State,2.0,2012
14,Arkansas,2.5,2012
15,Arkansas State,2.0,2012
16,Arkansas Tech University,2.0,2012
17,Arkansas–Pine Bluff,2.0,2012
18,Armstrong Atlantic State University,4.0,2012
19,Assumption University,2.0,2012
20,Augustana College,2.0,2012
21,Austin Peay,2.0,2012
22,Baltimore City Community College,2.0,2012
23,Barry University,2.0,2012
24,Baton Rouge Community College,3.0,2012
25,Bellarmine University,4.0,2012
26,Belmont Abbey College,2.0,2012
27,Bemidji State University,2.0,2012
28,Bethune–Cookman,6.0,2012
29,Binghamton,2.0,2012
30,Biola University,4.0,2012
31,Birmingham Southern College,2.0,2012
32,Blinn College,2.0,2012
33,Bossier Parish Community College,2.0,2012
34,Boston College,2.7,2012
35,Bradley,4.3,2012
36,Cabrillo College,2.0,2012
37,Cal Poly Pomona,5.0,2012
38,Cal State Dominguez Hills,2.0,2012
39,Cal State Fullerton,6.0,2012
40,Cal State Northridge,2.0,2012
41,Cal State University-San Marcos,6.0,2012
42,Cal-State Los Angeles,2.0,2012
43,Cameron University,2.0,2012
44,Campbell,3.0,2012
45,Cape Breton University,2.0,2012
46,Cedarville University,2.0,2012
47,Central Arizona College,2.3,2012
48,Central Michigan,2.0,2012
49,Chaminade University,5.0,2012
50,Charlotte,3.5,2012
51,Christian Brothers University,2.0,2012
52,Citrus College,3.0,2012
53,Clarendon College,2.0,2012
54,Clarion University,2.0,2012
55,Clayton State University,2.0,2012
56,Clemson,3.5,2012
57,Cleveland State,2.3,2012
58,Colgate,4.0,2012
59,College of Southern Idaho,2.0,2012
60,College of Wooster,2.0,2012
61,College of the Canyons,4.0,2012
62,Collin College,2.7,2012
63,Colorado Christian University,2.0,2012
64,Columbus State University,2.0,2012
65,Concord University,6.0,2012
66,Concordia University-St. Paul,6.0,2012
67,Connecticut,4.0,2012
68,Cosumnes River College,2.0,2012
69,Cowley County Community College,2.3,2012
70,Dallas Baptist University,4.0,2012
71,Davidson,2.0,2012
72,Davidson County Community College,2.0,2012
73,Dayton,8.0,2012
74,DePaul,2.0,2012
75,Denver,3.0,2012
76,Detroit Mercy,4.0,2012
77,Dominican University of California,2.0,2012
78,Drake,2.0,2012
79,Drury University,2.0,2012
80,Duke,4.7,2012
81,Duquesne,2.0,2012
82,ETSU,2.3,2012
83,East Mississippi Community College,4.0,2012
84,Eastern Illinois,3.0,2012
85,Eastern Michigan,2.0,2012
86,Elizabeth City State University,2.0,2012
87,Emory University,2.0,2012
88,Fairfield,2.3,2012
89,Fairleigh Dickinson,2.0,2012
90,Fairmont State University,2.5,2012
91,Felician College,2.0,2012
92,Ferris State University,2.0,2012
93,Flagler College,2.0,2012
94,Florida,8.7,2012
95,Florida Atlantic,2.0,2012
96,Florida Gulf Coast,6.0,2012
97,Florida International,16.3,2012
98,Florida State College,4.3,2012
99,Fort Hays State University,2.0,2012
100,Francis Marion University,6.0,2012
101,Franklin & Marshall College,2.0,2012
102,Furman,2.7,2012
103,GCU,2.0,2012
104,Gannon University,2.0,2012
105,Gardner–Webb,4.0,2012
106,Georgetown College,4.0,2012
107,Georgia Southern,2.0,2012
108,Georgia State,2.0,2012
109,Glendale Junior College,2.0,2012
110,Gonzaga,6.0,2012
111,Gordon State College,2.0,2012
112,Grambling State,2.0,2012
113,Grand Valley State University,2.0,2012
114,Green Bay,2.0,2012
115,Guilford College,2.0,2012
116,Hampton,2.0,2012
117,Harding University,2.0,2012
118,Hartford,2.0,2012
119,Hawai'l Pacific University,4.0,2012
120,Hawaii,2.5,2012
121,High Point,4.0,2012
122,Highland Community College,2.0,2012
123,Highline Community College,2.0,2012
124,Hillsdale College,2.0,2012
125,Hofstra,2.0,2012
126,Howard,2.3,2012
127,Howard College,2.3,2012
128,Humboldt State,2.0,2012
129,Humboldt State University,2.0,2012
130,Hutchinson Community College,2.3,2012
131,IUPUI,4.0,2012
132,Idaho,2.0,2012
133,Illinois,4.3,2012
134,Incarnate Word,2.0,2012
135,Indian Hills Community College,3.0,2012
136,Indiana,4.0,2012
137,Indiana University-Pennsylvania,4.0,2012
138,Iona,5.3,2012
139,Iowa,3.3,2012
140,Iowa State,6.0,2012
141,Iowa Western Community College,4.0,2012
142,Jackson State,6.5,2012
143,Jacksonville,2.3,2012
144,Jacksonville College,4.0,2012
145,Jacksonville State,2.0,2012
146,Jamestown College,2.0,2012
147,John A. Logan College,2.0,2012
148,Jones County Community College,2.0,2012
149,Kankakee Community College,2.0,2012
150,Kennesaw State,6.3,2012
151,Kent State,2.0,2012
152,Kentucky,3.0,2012
153,Kentucky Wesleyan College,2.0,2012
154,Kilgore Junior College,2.0,2012
155,LIU,2.0,2012
156,LSU,2.0,2012
157,La Salle,4.0,2012
158,Lake Superior State University,2.0,2012
159,Lakeland Community College,2.0,2012
160,Lamar State-Port Arthur,2.5,2012
161,Lander University,4.0,2012
162,Lawson State Community College,2.0,2012
163,LeMoyne College,2.0,2012
164,Lee Community College,2.3,2012
165,Lee University,4.0,2012
166,Life University,2.5,2012
167,Lindsey Wilson College,4.0,2012
168,Lon Morris College,2.0,2012
169,Long Beach State,10.3,2012
170,Lourdes University,2.0,2012
171,Loyola (MD),2.0,2012
172,Loyola Chicago,2.0,2012
173,Loyola Marymount,2.0,2012
174,Manhattan,5.0,2012
175,Marion University,2.0,2012
176,Marquette,6.0,2012
177,Marshall,2.0,2012
178,Martin Methodist College,2.0,2012
179,Maryland,10.0,2012
180,Massachusetts,3.3,2012
181,McLennan Community College,2.7,2012
182,Mercer,2.0,2012
183,Merrimack College,2.0,2012
184,Miami (OH),2.0,2012
185,Miami Dade College,2.0,2012
186,Middle Tennessee,2.0,2012
187,Midland College,4.0,2012
188,Midwestern State University,2.0,2012
189,Milwaukee,2.0,2012
190,Mineral Area College,2.0,2012
191,Minnesota State University,8.0,2012
192,Minnesota State University-Moorhead,2.0,2012
193,Minot State University,2.0,2012
194,Mississippi College,2.0,2012
195,Mississippi Gulf Coast Community College,2.0,2012
196,Missouri,7.7,2012
197,Monmouth,2.3,2012
198,Monroe Community College,3.3,2012
199,Montana State,2.0,2012
200,Montana State University-Billings,4.0,2012
201,Morehead State,6.5,2012
202,Mount Vernon Nazarene University,2.0,2012
203,NC State,3.3,2012
204,NJIT,2.0,2012
205,Nebraska,5.4,2012
206,Nebraska (Track & Field),2.0,2012
207,Nevada,2.5,2012
208,New Hope Christian College,3.0,2012
209,New Mexico,2.3,2012
210,New Mexico Junior College,3.0,2012
211,Niagara,4.0,2012
212,Norfolk State,4.0,2012
213,North Dakota,4.0,2012
214,North Georgia College & State University,4.0,2012
215,North Greenville University,2.0,2012
216,North Idaho College,2.0,2012
217,Northeast Mississippi Community College,2.0,2012
218,Northeastern,2.0,2012
219,Northeastern Junior College,4.0,2012
220,Northern Arizona,2.0,2012
221,Northern Illinois,2.0,2012
222,Northern Iowa,2.3,2012
223,Northern Kentucky,4.0,2012
224,Northern Michigan University,2.0,2012
225,Northern Nazarene University,2.0,2012
226,Northwest Florida State College,6.3,2012
227,Northwestern,3.5,2012
228,Northwood University,2.0,2012
229,Nova Southeastern University,4.0,2012
230,Oakland,6.0,2012
231,Ohio,7.7,2012
232,Oklahoma,2.7,2012
233,Oklahoma City University,2.0,2012
234,Old Dominion,3.5,2012
235,Omaha,2.0,2012
236,Oregon,3.5,2012
237,Otero Junior College,4.0,2012
238,Our Lady of the Lake University,2.0,2012
239,Paul Quinn College,2.0,2012
240,Pearl River Community College,2.0,2012
241,Peninsula College,2.0,2012
242,Penn,2.3,2012
243,Pensacola State College,2.0,2012
244,Pepperdine,4.0,2012
245,Philadelphia University,2.3,2012
246,Pittsburgh,4.0,2012
247,Point Loma Nazarene University,4.0,2012
248,Portland State,2.0,2012
249,Prairie View A&M,2.0,2012
250,Providence,7.3,2012
251,Quincy University,2.0,2012
