teamName,year,stars
Abilene Christian,2017,2
Academy of Art,2019,2
Academy of Art,2021,4
Acadia University,2015,2
Adams St.,2018,6
Adams St. University,2014,4
Adelphi,2015,2.5
Adelphi,2017,4
Adelphi,2019,9.3
Adelphi,2020,2
Adelphi,2021,2
Adelphi University,2012,2
Adelphi University,2013,2
Adelphi University,2014,2
Adrian College,2012,2
Akron,2017,12.1
Akron,2018,5.5
Akron,2019,5
Akron,2020,2
Akron,2021,6.7
Alabama,2013,4.3
Alabama,2015,8.3
Alabama,2016,8.3
Alabama,2017,4
Alabama,2019,7.6
Alabama,2020,5.3
Alabama,2021,7
Alabama A&M,2017,4
Alabama A&M,2018,2
Alabama A&M,2019,5
Alabama A&M,2020,2
Alabama A&M,2021,2.7
Alabama Southern Community College,2012,2
Alabama St.,2016,3
Alabama St.,2019,2
Alabama St.,2021,8.3
Alabama-Huntsville,2015,2
Alabama-Huntsville,2020,2
Alaska,2016,2
Alaska,2020,7.5
Alaska,2021,2
Alaska Anchorage,2015,2
Alaska Anchorage,2016,2
Alaska Anchorage,2017,9
Alaska Anchorage,2018,2
Alaska Anchorage,2021,2
Albany,2017,3
Albany,2018,4.7
Albany,2019,6.7
Albany,2020,6
Albany,2021,12
Albany St.,2015,4
Albany St.,2018,2
Albany St. University,2013,2
Albany Technical College,2021,4
Albertus Magnus College,2016,4
Alcorn St.,2013,3
Alcorn St.,2015,2
Alcorn St.,2016,2
Alcorn St.,2019,2
Alcorn St.,2020,6
Alcorn St.,2021,17.3
Alderson Broaddus,2017,2
Alderson Broaddus,2020,2.7
Alderson Broaddus University,2014,2
Alderson-Broaddus College,2013,2
Allan Hancock College,2012,2
Allan Hancock College,2013,2
Allan Hancock College,2017,2
Allan Hancock College,2021,2
Allegany College of Maryland,2016,2
Allen University,2016,2
American,2012,4.3
American,2013,4.7
American,2014,4
American,2016,3
American,2018,3
American,2021,4
American International,2018,2
American International,2019,4
American International,2020,2
American International College,2014,2
Amherst College,2014,4
Anderson,2017,2
Anderson,2021,2
Anderson University,2012,4
Andrew College,2019,2
Angelina College,2013,2
Angelina College,2014,2
Angelina College,2017,6
Angelina College,2018,4
Angelo St.,2015,4
Angelo St.,2016,8
Angelo St.,2017,8
Angelo St.,2018,8
Angelo St.,2019,6
Angelo St.,2020,2
Angelo St.,2021,4
Angelo St. University,2012,6
Angelo St. University,2014,6.6
Antelope Valley College,2012,2
Appalachian St.,2012,2
Appalachian St.,2013,3
Appalachian St.,2015,6
Appalachian St.,2016,2
Appalachian St.,2017,7
Appalachian St.,2018,2
Appalachian St.,2019,2
Appalachian St.,2020,4
Aquinas College,2018,2
Arizona,2012,5.3
Arizona,2013,3
Arizona,2014,3.3
Arizona,2015,2
Arizona,2016,4
Arizona,2017,5
Arizona,2018,8.7
Arizona,2019,11.7
Arizona,2020,6
Arizona,2021,11
Arizona Christian University,2012,2
Arizona Christian University,2014,2
Arizona Christian University,2015,2.3
Arizona Christian University,2016,4.7
Arizona Christian University,2017,2
Arizona Christian University,2021,4.5
Arizona St.,2012,2
Arizona St.,2013,5
Arizona St.,2015,5.3
Arizona St.,2017,14.4
Arizona St.,2018,4.7
Arizona St.,2020,6
Arizona St.,2021,9
Arizona Western College,2013,2.7
Arizona Western College,2015,2.3
Arizona Western College,2019,6
Arizona Western College,2020,2
Arkansas,2012,2.5
Arkansas,2013,3
Arkansas,2014,2
Arkansas,2015,6
Arkansas,2017,2.7
Arkansas,2018,2
Arkansas,2019,13.8
Arkansas,2020,11.7
Arkansas,2021,14
Arkansas St.,2012,2
Arkansas St.,2013,8.1
Arkansas St.,2014,2
Arkansas St.,2019,5.3
Arkansas St.,2021,3
Arkansas Tech,2015,8.7
Arkansas Tech,2016,10
Arkansas Tech,2017,8
Arkansas Tech,2018,4
Arkansas Tech,2019,10
Arkansas Tech,2020,6
Arkansas Tech,2021,4
Arkansas Tech University,2012,2
Arkansas Tech University,2013,2
Arkansas Tech University,2014,8.3
Arkansas-Fort Smith,2015,8
Arkansas-Fort Smith,2016,9.7
Arkansas-Fort Smith,2017,4
Arkansas-Fort Smith,2019,2
Arkansas-Monticello,2015,6
Arkansas-Monticello,2020,6
Arkansas-Monticello,2021,2
Arkansas-Pine Bluff,2012,2
Arkansas-Pine Bluff,2016,4
Arkansas-Pine Bluff,2021,7
Arkansas-Pine Bluff,2022,2
Armstrong Atlantic St. University,2012,4
Armstrong St.,2015,4
Armstrong St.,2016,2
Armstrong St. University,2014,4
Asa College,2013,3
ASA College Miami,2016,2
Asbury University,2015,2
Ashland,2018,5.5
Ashland,2020,2
Ashland,2021,2
Ashland University,2013,2
Assumption,2017,2
Assumption,2020,2
Assumption College,2014,6
Assumption University,2012,2
Atlantic Cape Community College,2021,2
Auburn,2014,7.7
Auburn,2015,3.3
Auburn,2016,8
Auburn,2017,3
Auburn,2018,3.3
Auburn,2021,15
Auburn-Montgomery,2018,4
Auburn-Montgomery,2019,4
Auburn-Montgomery,2020,5
Auburn-Montgomery,2021,6
Augsburg University,2019,2
Augsburg University,2020,2
Augusta,2015,2
Augusta,2019,2
Augusta,2020,2
Augusta,2021,4
Augustana,2017,2
Augustana,2018,2
Augustana College,2012,2
Austin Community College,2015,2
Austin Peay,2012,2
Austin Peay,2017,4
Austin Peay,2018,4.7
Austin Peay,2019,4
Austin Peay,2020,6.5
Austin Peay,2021,8
Ava Maria University,2016,4
Azusa Pacific,2015,2
Azusa Pacific,2016,2
Azusa Pacific,2017,4
Azusa Pacific,2018,4
Azusa Pacific,2020,4
Azusa Pacific,2021,2
Azusa Pacific University,2013,2
Babson College,2017,6
Babson College,2019,2
Baker University,2017,2
Ball St.,2014,5
Ball St.,2015,4
Ball St.,2016,4
Ball St.,2017,6.7
Ball St.,2018,4
Ball St.,2020,7
Ball St.,2021,7.5
Ball St.,2022,2
Baltimore City Community College,2012,2
Baltimore City Community College,2016,2
Baltimore City Community College,2017,2
Bard College,2016,2
Barry,2015,6
Barry,2016,4
Barry,2017,4
Barry,2018,6
Barry,2019,4
Barry,2020,6
Barry University,2012,2
Barry University,2013,6
Barry University,2014,6
Barton,2019,2
Barton Community College,2016,2
Barton Community College,2017,4
Barton Community College,2018,2
Barton County Community College,2013,2
Baton Rouge Community College,2012,3
Baton Rouge Community College,2013,2
Baton Rouge Community College,2014,2
Baylor,2013,2
Baylor,2014,2
Baylor,2015,2
Baylor,2017,4
Baylor,2018,9
Baylor,2019,4
Baylor,2021,8
Bellarmine,2016,2
Bellarmine,2017,4
Bellarmine,2018,4
Bellarmine,2019,3
Bellarmine,2020,2
Bellarmine University,2012,4
Bellarmine University,2013,4.7
Bellarmine University,2014,6.3
Bellevue College,2020,2
Belmont,2013,2.7
Belmont,2019,2.5
Belmont Abbey,2016,2
Belmont Abbey,2020,2
Belmont Abbey College,2012,2
Bemidji St.,2015,2
Bemidji St.,2020,4
Bemidji St. University,2012,2
Benedict,2016,2
Benedict,2017,2
Benedict,2020,2
Benedict,2021,2
Benedict College,2013,2
Benedictine College,2016,2.3
Benedictine University,2013,2
Benedictine University at Mesa,2019,2
Benedictine University at Mesa,2020,3.3
Berry College,2015,2
Bethel College,2014,2
Bethel College,2020,2
Bethel University,2013,2
Bethel University,2019,2
Bethel University,2020,2
Bethesda University of California,2018,2
Bethune-Cookman,2012,6
Bethune-Cookman,2014,10
Bethune-Cookman,2015,2
Bethune-Cookman,2016,2
Bethune-Cookman,2017,5
Bethune-Cookman,2018,2
Bethune-Cookman,2019,4
Bethune-Cookman,2020,2
Bethune-Cookman,2021,15.3
Big Bend Community College,2016,2
Binghamton,2012,2
Binghamton,2015,2
Binghamton,2016,2
Binghamton,2018,2
Binghamton,2019,5
Binghamton,2020,8
Binghamton,2021,5
Biola,2017,2
Biola,2018,2
Biola,2019,4
Biola,2021,2
Biola University,2012,4
Biola University,2015,2
Birmingham Southern College,2012,2
Black Hills St.,2020,2
Blinn College,2012,2
Blinn College,2013,6
Blinn College,2014,4
Blinn College,2015,4.7
Blinn College,2016,2
Blinn College,2017,12
Blinn College,2018,2
Blinn College,2019,4
Blinn College,2020,4
Blinn College,2021,4
Bloomfield,2015,2
Bloomsburg,2015,2
Bloomsburg,2016,2
Bloomsburg,2017,4
Bob Jones University,2013,2
Bob Jones University,2019,2
Boise St.,2015,4.7
Boise St.,2017,6.3
Boise St.,2019,13
Boise St.,2020,6
Bossier Parish Community College,2012,2
Bossier Parish Community College,2016,2
Bossier Parish Community College,2017,2
Bossier Parish Community College,2018,4
Bossier Parish Community College,2019,8
Bossier Parish Community College,2020,2
Boston College,2012,2.7
Boston College,2014,4.6
Boston College,2015,2.7
Boston College,2016,6
Boston College,2017,3
Boston College,2018,2
Boston College,2019,9
Boston College,2020,9
Boston College,2021,6
Boston University,2013,5.3
Boston University,2018,2
Boston University,2021,2
Bowie St.,2015,4.5
Bowie St.,2016,6
Bowie St.,2018,2
Bowie St.,2020,6
Bowie St.,2021,6
Bowie St. University,2013,4
Bowie St. University,2014,6
Bowling Green,2018,2
Bowling Green,2019,2.3
Bowling Green,2021,11
Bradley,2012,4.3
Bradley,2013,4
Bradley,2015,3
Bradley,2019,6
Bradley,2020,2
Bradley,2021,2
Brevard,2015,2
Brewton-Parker College,2017,2
Bridgeport,2015,4
Bridgeport,2017,2
Bridgeport,2021,4
Bridgewater College,2020,2
Brigham Young,2013,3
Brigham Young,2014,5
Brigham Young,2015,2
Brigham Young,2016,4
Brigham Young,2017,2
Brigham Young,2018,3.7
Brigham Young,2019,10.7
Brigham Young,2020,6
Brigham Young,2021,5.3
Brigham Young University-Hawaii,2014,2
Brigham Young University-Hawaii,2014,4
Brock University,2016,2
Brock University,2020,2
Brock University,2021,2
Broward College,2014,2
Broward College,2015,2
Broward College,2016,2
Broward College,2018,5.7
Broward College,2019,2
Brown,2021,2
Brunswick Community College,2013,2
Brunswick Community College,2014,2
Brunswick Community College,2019,2
Bryant,2013,2
Bryant,2017,2
Bryant,2018,4
Bryant,2020,10.8
Bryant,2021,12
Bryant,2022,2
Bryant & Stratton College,2014,2
Bryant & Stratton College,2018,2
Bucknell,2020,2
Buffalo,2013,4.8
Buffalo,2014,2
Buffalo,2015,3.3
Buffalo,2017,4
Buffalo,2018,6
Buffalo,2019,5
Buffalo,2020,2
Buffalo,2021,4
Butler,2014,7
Butler,2015,4.3
Butler,2016,5
Butler,2018,6.5
Butler,2019,3
Butler,2020,4.7
Butler,2021,2
Butler Community College,2014,2
Butler Community College,2017,4
Butler Community College,2019,2
Butler Community College,2020,5
Butler Community College,2021,8
Cabrillo College,2012,2
Cabrillo College,2018,2
Cal Poly,2014,2.3
Cal Poly,2015,3
Cal Poly,2017,2
Cal Poly,2018,5
Cal Poly,2019,5
Cal Poly,2020,2
Cal Poly,2021,10
Cal Poly Pomona,2012,5
Cal Poly Pomona,2013,2
Cal Poly Pomona,2016,2
Cal Poly Pomona,2018,4
Cal St. Bakersfield,2013,2
Cal St. Bakersfield,2014,5
Cal St. Bakersfield,2015,3
Cal St. Bakersfield,2016,2.3
Cal St. Bakersfield,2018,3
Cal St. Bakersfield,2019,4
Cal St. Bakersfield,2020,2
Cal St. Bakersfield,2021,5
Cal St. Dominguez Hills,2012,2
Cal St. Dominguez Hills,2016,6
Cal St. Dominguez Hills,2017,4
Cal St. Dominguez Hills,2018,4
Cal St. Dominguez Hills,2020,4.7
Cal St. Dominguez Hills,2021,11
Cal St. Dominquez Hills,2013,2
Cal St. East Bay,2015,7
Cal St. East Bay,2016,4
Cal St. East Bay,2017,2
Cal St. East Bay,2018,4.3
Cal St. East Bay,2019,2
Cal St. East Bay,2021,2
Cal St. Fullerton,2012,6
Cal St. Fullerton,2013,5
Cal St. Fullerton,2014,4
Cal St. Fullerton,2016,7.7
Cal St. Fullerton,2019,5
Cal St. Fullerton,2020,5.3
Cal St. Fullerton,2021,11
Cal St. Los Angeles,2013,6
Cal St. Los Angeles,2015,6.7
Cal St. Los Angeles,2016,5.7
Cal St. Los Angeles,2017,6.3
Cal St. Los Angeles,2018,4
Cal St. Los Angeles,2019,2
Cal St. Los Angeles,2020,10.7
Cal St. Monterey Bay,2016,4
Cal St. Monterey Bay,2017,4
Cal St. Monterey Bay,2018,4
Cal St. Monterey Bay,2019,2
Cal St. Monterey Bay,2020,2
Cal St. Monterey Bay,2021,2
Cal St. Northridge,2012,2
Cal St. Northridge,2013,14
Cal St. Northridge,2015,17.2
Cal St. Northridge,2016,7.9
Cal St. Northridge,2017,3.3
Cal St. Northridge,2019,3
Cal St. Northridge,2020,7.3
Cal St. Northridge,2021,13.3
Cal St. San Bernardino,2013,2
Cal St. San Bernardino,2015,7.3
Cal St. San Bernardino,2017,2
Cal St. San Bernardino,2018,8
Cal St. San Bernardino,2019,4
Cal St. San Bernardino,2020,6
Cal St. San Bernardino,2021,5.3
Cal St. San Marcos,2015,6
Cal St. San Marcos,2016,8.3
Cal St. San Marcos,2017,6
Cal St. San Marcos,2018,2
Cal St. San Marcos,2020,6
Cal St. San Marcos,2021,3.5
Cal St. University-San Marcos,2012,6
Caldwell,2015,2
Caldwell,2021,2
Caldwell Community College & Technical Institute,2021,2
Caldwell Community College and Technical Institute,2018,2
California,2014,2
California,2015,2
California,2016,6.7
California,2017,5.3
California,2019,2
California,2020,6
California,2021,2
California (PA),2015,2
California (PA),2016,6
California (PA),2017,2.7
California (PA),2018,2
California Baptist,2015,4
California Baptist,2016,6
California Baptist,2017,10.7
California Baptist,2018,7
California Baptist,2019,4
California Baptist,2020,13.8
California Baptist,2021,8
California Baptist University,2013,2
California Baptist University,2014,4
California Lutheran University,2016,2
"California St. Polytechnic University, Pomona",2014,2
California St. University San Marcos,2014,2
"California St. University, Dominguez Hills",2014,2.3
"California St. University, East Bay",2014,2
"California St. University, Los Angeles",2014,2.3
"California St. University, San Bernardino",2013,4.3
"California St. University, San Bernardino",2014,4
"California St. University, San Marcos",2013,6.3
"California St. University, San Marcos",2014,4
California St. University-East Bay,2013,2
California University of Pennsylvania,2013,2
Cal-St. Los Angeles,2012,2
Camden County College,2019,2
Cameron,2015,2
Cameron,2021,2
Cameron University,2012,2
Cameron University,2013,6
Cameron University,2014,2
Campbell,2012,3
Campbell,2013,5
Campbell,2014,2
Campbell,2019,2
Campbellsville University,2013,4
Campbellsville University,2014,6.3
Campbellsville University,2015,4
Campbellsville University,2016,5
Campbellsville University,2017,4
Campbellsville University,2018,2
Campbellsville University,2019,2
Campbellsville University,2020,4
Campbellsville University,2021,8
Canisius,2013,3
Canisius,2015,2
Canisius,2019,4
Cape Breton University,2012,2
Cape Fear Community College,2013,2
Cape Fear Community College,2014,2
Cape Fear Community College,2016,8.3
Cape Fear Community College,2017,6.4
Cape Fear Community College,2018,2
Cape Fear Community College,2019,2
Cape Fear Community College,2021,7
Capser College,2017,2
Carleton University,2015,4.5
Carleton University,2016,3
Carleton University,2017,4
Carleton University,2018,2
Carleton University,2019,4
Carleton University,2020,2
Carnegie Mellon University,2014,2
Carroll University,2014,2
Carson-Newman,2015,2
Carson-Newman,2019,10
Carson-Newman,2020,2
Carson-Newman,2021,2
Carson-Newman University,2013,2
Case Western Reserve University,2013,2
Case Western Reserve University,2021,2
Casper College,2013,2
Casper College,2014,4
Casper College,2015,2
Casper College,2016,6
Casper College,2017,2
Casper College,2018,2
Casper College,2021,2
Castleton St. College,2014,2
Catawba,2016,2
Catawba,2018,2
Catawba,2019,4
Catawba,2020,4
Catawba,2021,9
Catawba College,2014,4
Cedarville,2015,2
Cedarville,2018,2
Cedarville,2021,2
Cedarville University,2012,2
Centenary College,2017,2
Central Arizona College,2012,2.3
Central Arizona College,2013,4
Central Arizona College,2014,2
Central Arizona College,2018,3
Central Arizona College,2020,2
Central Arkansas,2014,6
Central Arkansas,2019,2
Central Arkansas,2020,2
Central Arkansas,2021,3.5
Central Baptist College,2020,2
Central Baptist College,2021,4
Central Community College,2021,2
Central Connecticut St.,2014,2
Central Connecticut St.,2016,2
Central Connecticut St.,2021,2
Central Methodist University,2015,2
Central Michigan,2012,2
Central Michigan,2015,2
Central Michigan,2017,2
Central Michigan,2018,5
Central Michigan,2019,2
Central Michigan,2020,2
Central Michigan,2021,18.7
Central Missouri,2015,8
Central Missouri,2016,2
Central Missouri,2017,8.5
Central Missouri,2018,4
Central Missouri,2019,4
Central Missouri,2020,6
Central Missouri,2021,4
Central Oklahoma,2015,2
Central Oklahoma,2016,3
Central Oklahoma,2017,6
Central Oklahoma,2018,2
Central Oklahoma,2019,4.7
Central Oklahoma,2021,2
Central St.,2015,2
Central St.,2016,2
Central St.,2020,2
Central Washington,2017,2
Central Washington,2019,5
Central Washington,2020,4
Central Washington,2021,4
Central Washington,2022,2
Central Washington University,2013,2
Central Washington University,2014,2.5
Chabot College,2018,2
Chadron St.,2018,6
Chadron St.,2019,2
Chadron St.,2021,2
Chaffey College,2014,2
Chaminade,2015,4
Chaminade,2016,2
Chaminade,2017,4
Chaminade,2019,7.7
Chaminade,2020,4
Chaminade,2021,4
Chaminade University,2012,5
Chaminade University,2013,8
Chaminade University of Honolulu,2014,2
Chapman University,2018,2
Chapman University,2020,2
Charleston,2015,4
Charleston,2016,8
Charleston,2017,6
Charleston,2018,4
Charleston,2019,2
Charleston,2020,4
Charleston,2021,2
Charleston Southern,2014,2
Charleston Southern,2015,4
Charleston Southern,2021,6
Charlotte,2012,3.5
Charlotte,2013,10
Charlotte,2014,2.3
Charlotte,2015,6.3
Charlotte,2016,2.7
Charlotte,2018,2
Charlotte,2019,7
Charlotte,2020,4
Charlotte,2021,12
Chattanooga,2013,2.7
Chattanooga,2015,2
Chattanooga,2016,6.4
Chattanooga,2017,2
Chattanooga,2018,8.5
Chattanooga,2019,10.3
Chattanooga,2020,9
Chattanooga,2021,10.7
Chattanooga St. Community College,2014,2
Chattanooga St. Community College,2018,2
Chattanooga St. Community College,2019,2
Chestnut Hill,2015,2
Chestnut Hill,2016,2
Chestnut Hill,2020,4
Cheyney,2015,2
Chicago St.,2013,2
Chicago St.,2015,2
Chicago St.,2016,5
Chicago St.,2020,2
Chico St.,2016,2
Chico St. University,2014,2
Chipola College,2014,3
Chipola College,2015,7.3
Chipola College,2016,9.5
Chipola College,2017,4
Chipola College,2018,5
Chipola College,2019,8
Chowan,2021,6
Chowan University,2014,2
Christendom College,2018,2
Christian Brothers,2015,2
Christian Brothers,2020,2
Christian Brothers,2021,2
Christian Brothers University,2012,2
Christopher Newport University,2013,2
Christopher Newport University,2014,2
Christopher Newport University,2019,2
Cincinnati,2015,4
Cincinnati,2016,4
Cincinnati,2019,8.7
Cincinnati,2020,7.7
Cincinnati,2021,15.2
Cincinnati St. Community College,2016,2
Citrus College,2012,3
Citrus College,2013,2.3
Citrus College,2017,4
City College of San Francisco,2013,4
City College of San Francisco,2015,4.3
City College of San Francisco,2016,3
City College of San Francisco,2017,2
City College of San Francisco,2018,9
City College of San Francisco,2019,6.7
Claflin,2015,2
Claflin,2017,2
Claflin,2018,5
Claflin,2020,5
Claflin,2021,2
Claflin University,2014,2
Clarendon College,2012,2
Clarendon College,2014,2
Clarendon College,2017,2.3
Clarendon College,2019,4
Clarendon College,2020,4
Clarendon College,2021,6
Clarion,2015,4
Clarion,2019,2
Clarion University,2012,2
Clark Atlanta,2016,2
Clark Atlanta,2017,4
Clark Atlanta,2019,2
Clark Atlanta,2020,4
Clark Atlanta University,2013,2
Clark Atlanta University,2014,2
Clark College,2015,4
